objectid,filename,title,date,description,source,format,subject,location,latitude,longitude
porfiriodiaz_001,porfiriodiaz_001.png,Señora con vestido negro,1887-03-19,Solicita a Porfirio Díaz que otorgue el alta del servicio militar a su esposo. ,Legajo 20 Caja 34 Documento 16820-A,image/png,Militar,,,
porfiriodiaz_002,porfiriodiaz_002.png,Joven con bigote,1910,Solicita una beca a Porfirio Díaz.,Legajo 35 Caja 29 Documento 14319,image/png,Educación,,,
porfiriodiaz_003,porfiriodiaz_003.png,Hospital La Plaza Monterrey I,1895-06,Plano de obra para el hospital en La Plaza Monterrey,Legajo 20 Caja 9 Documento 004123,image/png,Hospitales,,,
porfiriodiaz_004,porfiriodiaz_004.png,Hospital La Plaza Monterrey II,1895,Gastos y ahorros en la construcción del hospital. ,Legajo 20 Caja 9 Documento 4124,image/png,Hospitales,,,
porfiriodiaz_005,porfiriodiaz_005.png,Edificio del Hospital Civil de un Edificio,1895,Carta informa fecha de inaguración del hospital,Legajo 20 Caja 20 Documento 9658-A,image/png,Hospitales,Chilpancingo,17.551.531.817.171.900,-9.950.064.023.344.620
porfiriodiaz_006,porfiriodiaz_006.png,Interior de un Edificio,,"El documento parece estar incompleto. Se trata de una carta escrita por Lorenzo Cortés Aceves. Sin embargo, únicamente están disponibles las páginas 3 y 4 de su carta. No se logró ubicar las otras en el archivo. ",Legajo 16 Caja 24 Documento 11784 B,image/png,Edificios,,,
porfiriodiaz_007,porfiriodiaz_007.png,Retrato de Miguel Hidalgo y Costilla,1910,"Es una tarjeta postal celebrando el centenario de la independencia de México (1910). Tiene un retrato de Miguel Hidalgo y Costilla. El catálogo asegura que la postal tiene un manuscrito y autógrafo de Francisco María Arroyo, sin embargo, esto debe estar al reverso ya que no se vislumbra en la imagen.",Legajo 35 Caja 39 Documento 19492-A,image/png,Conmemoraciones,,,
porfiriodiaz_008,porfiriodiaz_008.png,Pizarrón múltiple,1895-04-02,"El documento parece estar completo. Se trata de una carta escrita por Jesús Ayala, quien describe un pizarrón que es de invención suya. Además de la carta, hay dos documentos adjuntos. Uno contiene la descripción del invento, así como una foto del inventor en un óvalo. Otro contiene una foto del pizarrón. La carta en sí misma está conformada por tres páginas. Habla de la conquista de México y de su Independencia. El catálogo parece tener un error ya que indica que la fecha es ""Puebla 2 de abril 1895"". Sin embargo, la carta dice: ""Ciudad 2 de marzo de 1895"".",Legajo 20 Caja 9 Documento 4497-A,image/png,Invenciones,Puebla,19.041.651.625.818.300,-9.820.790.333.982.140
porfiriodiaz_009,porfiriodiaz_009.png,Casa donde nació el General Porfirio Díaz,1910-09,"El catálogo menciona que la fotografía es de la casa donde nació Porfirio Díaz. Se puede apreciar en la foto que es propiedad de la Librería J.S. Soto, en Oaxaca. Las observaciones del catálogo indican que hay una dedicatoria y firma, pero estas deben estar al reverso ya que no están presentes en la imagen.",Legajo 35 Caja 22 Documento 10938,image/png,Librerías,Oaxaca,1.706.355.062.880.930,-9.673.037.486.694.300
porfiriodiaz_010,porfiriodiaz_010.png,Fotografía de la Familia Francisco de Hoyos,1908-09-09,"Es una fotografía de la familia de Francisco de Hoyos. Una vez más el catálogo menciona que tiene una dedicatoria, pero esta debe estar al reverso de la fotografía.",Legajo 33 Caja 38 Documento 15112-A,image/png,Familias,Saltillo,2.543.848.417.000.450,-10.097.365.519.705.100
